product name,raw product name,bill date,start date,reason,weight,amount,bill number,source row number
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,18/5/2569,25/06/2569,before product start date,46.6,4007.6,A1050549,3380
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,18/5/2569,25/06/2569,before product start date,47.6,4093.6,A1050539,3381
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,18/5/2569,25/06/2569,before product start date,6,486,A1050541,3382
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,19/5/2569,25/06/2569,before product start date,7.6,615.6,A1050564,3383
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,22/5/2569,25/06/2569,before product start date,8.8,712.8,A1050641,3384
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,23/5/2569,25/06/2569,before product start date,66.8,5744.8,A1050671,3385
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,23/5/2569,25/06/2569,before product start date,28.2,2425.2,A1050648,3386
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,26/5/2569,25/06/2569,before product start date,5.2,421.2,A1050703,3387
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,28/5/2569,25/06/2569,before product start date,56.8,4941.6,A1050738,3388
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,28/5/2569,25/06/2569,before product start date,42,3654,A1050741,3389
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,28/5/2569,25/06/2569,before product start date,2.2,180.4,A1050743,3390
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,2/6/2569,25/06/2569,before product start date,45,3915,A1050812,3391
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,2/6/2569,25/06/2569,before product start date,75.4,6559.8,A1050798,3392
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,2/6/2569,25/06/2569,before product start date,17.5,1435,A1050799,3393
อลูมิเนียมกระป๋อง,อลูมิเนียมกระป๋อง,4/6/2569,25/06/2569,before product start date,3,246,A1050849,3394
